symbol,timestamp,bid_figure,bid_points,offer_figure,offer_points,high,low,open
AUD/JPY,1513198502108,85.,870,85.,882,85.662,86.127,85.852
AUD/JPY,1513198799941,85.,871,85.,883,85.662,86.127,85.852
AUD/JPY,1513199101342,85.,878,85.,889,85.662,86.127,85.852
AUD/JPY,1513199400174,85.,876,85.,889,85.662,86.127,85.852
AUD/JPY,1513199695776,85.,873,85.,886,85.662,86.127,85.852
AUD/JPY,1513200298604,85.,915,85.,925,85.662,86.127,85.852
AUD/JPY,1513200601153,85.,921,85.,933,85.662,86.127,85.852
AUD/JPY,1513200900554,85.,933,85.,942,85.662,86.127,85.852
AUD/JPY,1513201200258,85.,953,85.,964,85.662,86.127,85.852
AUD/JPY,1513201501333,85.,971,85.,982,85.662,86.127,85.852
AUD/JPY,1513202101415,85.,950,85.,960,85.662,86.127,85.852
AUD/JPY,1513202400017,85.,923,85.,957,85.662,86.127,85.852
AUD/JPY,1513206001624,85.,984,86.,004,85.923,86.047,85.940
AUD/JPY,1513206301659,86.,004,86.,016,85.923,86.047,85.940
AUD/JPY,1513206595057,86.,004,86.,014,85.923,86.047,85.940
AUD/JPY,1513206898347,85.,980,85.,993,85.923,86.047,85.940
AUD/JPY,1513207201125,86.,006,86.,014,85.923,86.047,85.940
AUD/JPY,1513207497589,86.,022,86.,035,85.923,86.047,85.940
AUD/JPY,1513207799849,86.,081,86.,095,85.923,86.097,85.940
AUD/JPY,1513208101753,86.,037,86.,047,85.923,86.097,85.940
AUD/JPY,1513208400496,86.,024,86.,038,85.923,86.097,85.940
AUD/JPY,1513208701207,86.,043,86.,055,85.923,86.097,85.940
AUD/JPY,1513209002087,86.,027,86.,034,85.923,86.097,85.940
AUD/JPY,1513216494516,86.,316,86.,326,85.923,86.490,85.940
AUD/JPY,1513216800628,86.,347,86.,366,85.923,86.490,85.940
AUD/JPY,1513217100605,86.,430,86.,440,85.923,86.490,85.940
AUD/JPY,1513217400743,86.,426,86.,437,85.923,86.490,85.940
AUD/JPY,1513217700619,86.,433,86.,442,85.923,86.490,85.940
AUD/JPY,1513218000153,86.,441,86.,451,85.923,86.490,85.940
AUD/JPY,1513218300600,86.,426,86.,436,85.923,86.490,85.940
AUD/JPY,1513218597981,86.,427,86.,437,85.923,86.490,85.940
AUD/JPY,1513218900069,86.,423,86.,430,85.923,86.490,85.940
AUD/JPY,1513219200768,86.,427,86.,437,85.923,86.490,85.940
AUD/JPY,1513219497353,86.,409,86.,418,85.923,86.490,85.940
AUD/JPY,1513219800220,86.,388,86.,398,85.923,86.490,85.940
AUD/JPY,1513220100851,86.,373,86.,383,85.923,86.490,85.940
AUD/JPY,1513220400769,86.,355,86.,363,85.923,86.490,85.940
AUD/JPY,1513220700368,86.,359,86.,368,85.923,86.490,85.940
AUD/JPY,1513221000938,86.,340,86.,347,85.923,86.490,85.940
AUD/JPY,1513221291206,86.,352,86.,359,85.923,86.490,85.940
AUD/JPY,1513221600646,86.,335,86.,342,85.923,86.490,85.940
AUD/JPY,1513221900663,86.,326,86.,336,85.923,86.490,85.940
AUD/JPY,1513222200298,86.,313,86.,321,85.923,86.490,85.940
AUD/JPY,1513222494915,86.,325,86.,332,85.923,86.490,85.940
AUD/JPY,1513222799151,86.,305,86.,314,85.923,86.490,85.940
AUD/JPY,1513223101229,86.,322,86.,330,85.923,86.490,85.940
AUD/JPY,1513223401060,86.,352,86.,362,85.923,86.490,85.940
AUD/JPY,1513223700327,86.,359,86.,368,85.923,86.490,85.940
AUD/JPY,1513224001087,86.,355,86.,368,85.923,86.490,85.940
AUD/JPY,1513224300386,86.,332,86.,342,85.923,86.490,85.940
AUD/JPY,1513224600775,86.,331,86.,341,85.923,86.490,85.940
AUD/JPY,1513224900846,86.,328,86.,333,85.923,86.490,85.940
AUD/JPY,1513225199491,86.,328,86.,338,85.923,86.490,85.940
AUD/JPY,1513225489792,86.,337,86.,347,85.923,86.490,85.940
AUD/JPY,1513225800324,86.,332,86.,339,85.923,86.490,85.940
AUD/JPY,1513226100426,86.,347,86.,356,85.923,86.490,85.940
AUD/JPY,1513226398040,86.,346,86.,356,85.923,86.490,85.940
AUD/JPY,1513226699168,86.,352,86.,360,85.923,86.490,85.940
AUD/JPY,1513226998651,86.,340,86.,347,85.923,86.490,85.940
AUD/JPY,1513227297554,86.,343,86.,351,85.923,86.490,85.940
AUD/JPY,1513227601525,86.,325,86.,333,85.923,86.490,85.940
AUD/JPY,1513227894831,86.,334,86.,341,85.923,86.490,85.940
AUD/JPY,1513228499264,86.,323,86.,332,85.923,86.490,85.940
AUD/JPY,1513228800280,86.,310,86.,318,85.923,86.490,85.940
AUD/JPY,1513229092486,86.,289,86.,297,85.923,86.490,85.940
AUD/JPY,1513229399413,86.,280,86.,288,85.923,86.490,85.940
