"Date","Time","Open","High","Low","Close","Total Ticks"
11/17/2017,16:00:00,84.728,84.745,84.635,84.705,4812
11/17/2017,16:15:00,84.705,84.731,84.658,84.708,3181
11/17/2017,16:30:00,84.708,84.72,84.672,84.707,2920
11/17/2017,16:45:00,84.707,84.708,84.654,84.673,2574
11/17/2017,17:00:00,84.673,84.724,84.663,84.711,2293
11/17/2017,17:15:00,84.711,84.723,84.689,84.708,1238
11/17/2017,17:30:00,84.708,84.729,84.698,84.729,1239
11/17/2017,17:45:00,84.729,84.763,84.714,84.753,1958
11/17/2017,18:00:00,84.753,84.778,84.737,84.764,1882
11/17/2017,18:15:00,84.764,84.778,84.752,84.766,1563
11/17/2017,18:30:00,84.766,84.806,84.754,84.784,1389
11/17/2017,18:45:00,84.784,84.81,84.781,84.81,1314
11/17/2017,19:00:00,84.81,84.83,84.799,84.821,1015
11/17/2017,19:15:00,84.821,84.852,84.796,84.847,1156
11/17/2017,19:30:00,84.847,84.849,84.825,84.837,1148
11/17/2017,19:45:00,84.837,84.853,84.824,84.838,1323
11/17/2017,20:00:00,84.838,84.859,84.818,84.825,1210
11/17/2017,20:15:00,84.825,84.842,84.793,84.796,1263
11/17/2017,20:30:00,84.796,84.8,84.752,84.756,1252
11/17/2017,20:45:00,84.756,84.802,84.747,84.798,1209
11/17/2017,21:00:00,84.798,84.86,84.795,84.848,923
11/17/2017,21:15:00,84.848,84.854,84.815,84.825,328
11/17/2017,21:30:00,84.825,84.825,84.796,84.807,679
11/17/2017,21:45:00,84.807,84.847,84.785,84.786,1088
11/19/2017,19:45:00,84.786,84.804,84.767,84.767,8
11/19/2017,20:00:00,84.767,84.842,84.76,84.816,44
11/19/2017,20:15:00,84.816,84.816,84.779,84.802,14
11/19/2017,20:30:00,84.802,84.802,84.786,84.786,15
11/19/2017,20:45:00,84.786,84.806,84.783,84.805,14
11/19/2017,21:00:00,84.805,84.812,84.8,84.812,25
11/19/2017,21:15:00,84.812,84.85,84.812,84.824,46
11/19/2017,21:30:00,84.824,84.876,84.813,84.85,198
11/19/2017,21:45:00,84.85,84.857,84.785,84.799,160
